Source (A),Source (B),Source (C),Source (D),Source (E),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
10246108,2,4,"I think they shouldn’t because animals like being alive. ",1,9,1.00,13.32,4.97,25.77,9.00,33.33,88.89,66.67,22.22,22.22,11.11,0.00,0.00,0.00,11.11,0.00,0.00,11.11,22.22,0.00,11.11,11.11,33.33,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,33.33,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
10246109,1,1,I think they shouldn’t. I like animals are good. Pets are cool for pets.,1,14,5.89,7.67,13.15,99.00,4.67,14.29,92.86,50.00,21.43,21.43,14.29,0.00,0.00,0.00,7.14,0.00,0.00,7.14,21.43,0.00,0.00,7.14,35.71,7.14,0.00,0.00,0.00,0.00,21.43,21.43,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,28.57,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00
10246116,1,1,I think they shouldn’t. I think they shouldn’t cut the trees.,1,11,1.00,3.48,31.94,1.00,5.50,18.18,90.91,63.64,36.36,36.36,18.18,0.00,0.00,0.00,18.18,0.00,9.09,0.00,18.18,0.00,0.00,18.18,36.36,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,36.36,18.18,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00
10246117,2,5,I think they shouldn’t cut down tree because tree give us paper and if we waste the paper that will not be fair for the tree.,1,26,16.45,64.99,5.76,25.77,26.00,7.69,84.62,61.54,19.23,15.38,3.85,7.69,0.00,0.00,3.85,3.85,7.69,7.69,11.54,0.00,11.54,7.69,19.23,3.85,0.00,0.00,0.00,0.00,7.69,3.85,3.85,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,19.23,3.85,3.85,7.69,3.85,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,7.69,0.00,3.85,0.00,0.00,0.00,11.54,3.85,3.85,0.00,3.85,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00
10246122,1,1,I think they shouldn’t they're cute and adorable because,1,9,1.00,50.00,4.97,99.00,9.00,33.33,100.00,66.67,22.22,22.22,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,22.22,0.00,22.22,11.11,33.33,11.11,0.00,0.00,0.00,0.00,22.22,22.22,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,33.33,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00
10246126,2,4,I think they shouldn’t because we need them to breathe.,1,10,1.00,97.69,1.00,25.77,10.00,30.00,100.00,70.00,40.00,40.00,10.00,10.00,0.00,0.00,20.00,0.00,0.00,10.00,10.00,0.00,10.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,40.00,10.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
10246127,2,4,I don’t think they shouldn’t cut down the trees because animals live in them. It would be sad if they killed animals in the rainforest. I love the animals but they would die if they die but what if like it I love animals.,1,44,7.71,24.76,11.00,25.77,14.67,18.18,86.36,63.64,25.00,18.18,6.82,0.00,0.00,0.00,11.36,6.82,6.82,6.82,11.36,0.00,13.64,4.55,20.45,2.27,0.00,2.27,0.00,0.00,13.64,6.82,6.82,0.00,2.27,2.27,15.91,0.00,0.00,0.00,0.00,22.73,2.27,2.27,13.64,6.82,0.00,11.36,0.00,0.00,0.00,0.00,6.82,0.00,2.27,0.00,0.00,6.82,4.55,0.00,2.27,0.00,0.00,0.00,13.64,0.00,6.82,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,11.36,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
10246129,1,2,No how will animals live they give us air.,1,9,1.00,99.00,4.97,25.77,9.00,11.11,88.89,55.56,22.22,22.22,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,11.11,11.11,11.11,11.11,33.33,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10246136,1,1,I think no because I like bunny and coyote.,1,9,1.00,1.00,98.01,99.00,9.00,11.11,77.78,55.56,22.22,22.22,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,22.22,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10246141,2,4,"No I do not like it that they are cutting tree. We need oxygen from tree. We could not survive. ",1,19,2.97,70.08,1.00,97.58,6.33,15.79,73.68,57.89,31.58,21.05,5.26,10.53,0.00,0.00,5.26,10.53,0.00,5.26,10.53,0.00,0.00,10.53,15.79,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,15.79,0.00,0.00,10.53,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,10.53,5.26,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10246142,2,4,No. Because we need trees to breathe to live too.,1,10,52.71,84.14,1.00,25.77,5.00,20.00,90.00,60.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10246143,1,1,"Yes for homes. No killing animals.
",1,6,93.26,4.80,1.00,1.00,3.00,33.33,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10246144,2,4,I think they shouldn’t cut down trees. Because they shouldn’t hurt the spider monkey.,1,14,5.89,23.75,1.06,1.00,7.00,21.43,85.71,57.14,21.43,21.43,7.14,0.00,0.00,0.00,14.29,0.00,7.14,7.14,14.29,0.00,7.14,14.29,21.43,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,7.14,14.29,0.00,0.00,0.00,0.00,28.57,7.14,7.14,14.29,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00
10310101,3,7,"They shouldn’t be able to cut down trees. Animals are living things too. If you think spider monkey help us. We need plants and they give us a lot of things we need. Now you know why to not cut down trees. ",1,42,18.82,99.00,1.06,1.00,8.40,4.76,88.10,59.52,23.81,19.05,0.00,9.52,4.76,0.00,4.76,4.76,2.38,11.90,7.14,7.14,4.76,4.76,21.43,0.00,0.00,2.38,0.00,2.38,4.76,0.00,4.76,0.00,0.00,0.00,23.81,0.00,0.00,0.00,0.00,21.43,4.76,2.38,9.52,4.76,0.00,4.76,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,0.00,19.05,11.90,2.38,7.14,0.00,0.00,0.00,19.05,0.00,7.14,0.00,4.76,2.38,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00
10310106,4,10,"I think people should not be able to cut down tree. One reason is animal in the forest are endangered like the spider monkey. It might be extinct. Also people destroy too many things like the rainforest, and it’s not good to cut down the rainforest. People can’t breathe without trees. People can’t survive. That is why people should not cut down trees.   ",1,63,55.40,10.22,27.77,1.00,9.00,12.70,84.13,55.56,7.94,1.59,1.59,0.00,0.00,0.00,0.00,6.35,6.35,14.29,14.29,4.76,3.17,9.52,15.87,0.00,3.17,1.59,1.59,1.59,7.94,1.59,6.35,0.00,1.59,0.00,7.94,0.00,0.00,0.00,0.00,19.05,3.17,3.17,3.17,1.59,0.00,9.52,0.00,0.00,0.00,0.00,1.59,1.59,0.00,0.00,0.00,11.11,0.00,3.17,6.35,1.59,0.00,0.00,14.29,1.59,6.35,0.00,6.35,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.46,11.11,1.59,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00
10310111,2,4,"I think they should not because that is where they live. Because some babies get born every day. Because small animals are hard to see. Someone’s baby might die really badly. Some are nice. Some don’t want to die. Some are scared to die. Some of those monkeys are sad because some already died! That is why you should not kill animals. ",1,62,8.33,50.00,5.30,1.00,6.89,14.52,96.77,51.61,12.90,6.45,1.61,0.00,1.61,0.00,3.23,6.45,0.00,6.45,16.13,6.45,6.45,4.84,32.26,8.06,0.00,3.23,0.00,11.29,8.06,1.61,6.45,1.61,1.61,1.61,9.68,3.23,0.00,0.00,0.00,33.87,1.61,8.06,4.84,12.90,1.61,4.84,3.23,1.61,0.00,1.61,1.61,0.00,1.61,0.00,0.00,3.23,0.00,0.00,1.61,1.61,0.00,4.84,24.19,1.61,8.06,0.00,3.23,4.84,0.00,0.00,0.00,0.00,1.61,8.06,0.00,0.00,0.00,0.00,0.00,0.00,17.74,12.90,0.00,0.00,0.00,0.00,1.61,0.00,0.00,3.23,0.00,0.00
10310112,2,4,"And if you cut down the trees they might die. Spider monkeys are babies everyday and you don’t want to kill them. This is why you should not cut down trees. ",1,31,4.20,94.64,1.00,1.00,10.33,6.45,90.32,67.74,22.58,16.13,0.00,0.00,9.68,0.00,6.45,6.45,3.23,9.68,16.13,3.23,9.68,6.45,22.58,0.00,0.00,3.23,0.00,0.00,9.68,0.00,9.68,0.00,3.23,0.00,19.35,3.23,0.00,0.00,0.00,22.58,0.00,3.23,9.68,6.45,3.23,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,0.00,0.00,6.45,0.00,0.00,0.00,16.13,3.23,9.68,0.00,6.45,3.23,0.00,0.00,0.00,0.00,3.23,6.45,0.00,0.00,0.00,0.00,0.00,0.00,12.90,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00
10310113,2,4,"You should not cut down the rainforest. I know because you are cutting down trees in the rainforest, you are killing animals, and now you know why you should not cut down the rainforest.",1,34,34.65,92.92,66.34,1.00,17.00,20.59,82.35,67.65,17.65,17.65,2.94,0.00,14.71,0.00,0.00,0.00,8.82,11.76,11.76,5.88,5.88,5.88,17.65,0.00,0.00,2.94,0.00,0.00,8.82,0.00,8.82,0.00,2.94,0.00,14.71,0.00,0.00,0.00,0.00,23.53,5.88,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,0.00,0.00,8.82,0.00,0.00,0.00,14.71,0.00,14.71,0.00,11.76,2.94,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310125,2,4,NO!!!!! Because monkeys are beautiful animals and you are making animals extinct. Now you know you should not!!! Cut the trees in the rainforest.,1,24,18.82,89.42,7.84,25.77,6.00,29.17,79.17,58.33,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,8.33,4.17,12.50,4.17,8.33,8.33,20.83,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,20.83,4.17,8.33,4.17,0.00,0.00,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.67,8.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00
10310132,2,4,"I think people should not cut rainforest because animals live in rainforest. Now you know why you should not cut down rainforest. ",1,22,13.54,50.00,85.21,1.00,11.00,22.73,81.82,54.55,13.64,13.64,4.55,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,9.09,4.55,9.09,22.73,0.00,0.00,4.55,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,36.36,9.09,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,18.18,0.00,13.64,0.00,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310138,2,4,"People should not be allowed to cut down trees. Living animals live in trees. No cutting down trees anymore. ",1,19,86.88,14.62,50.35,1.00,6.33,21.05,73.68,47.37,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,21.05,10.53,0.00,0.00,10.53,21.05,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,15.79,0.00,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,15.79,0.00,0.00,15.79,0.00,0.00,0.00,10.53,0.00,21.05,0.00,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310140,3,7,"I think you should not cut down trees because animals need food from plants and they need a habitat to live and animals are getting extinct. Another reason is because people need trees to breathe. ",1,35,52.71,61.26,1.00,1.91,17.50,25.71,80.00,48.57,11.43,8.57,2.86,0.00,2.86,0.00,2.86,2.86,2.86,11.43,8.57,0.00,11.43,2.86,25.71,0.00,0.00,0.00,0.00,2.86,2.86,0.00,2.86,0.00,0.00,0.00,8.57,0.00,0.00,0.00,0.00,25.71,5.71,8.57,11.43,0.00,0.00,2.86,0.00,0.00,0.00,0.00,8.57,2.86,2.86,0.00,2.86,5.71,0.00,0.00,2.86,2.86,0.00,0.00,20.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310144,3,7,"It will not be a good idea because animals are losing their homes in the rainforest and there are a lot of animals getting kicked from trees and homes getting chopped down and there are less animals in the rainforest. So that is why I think you should not cut down trees in the rainforest in my idea. ",1,58,55.63,30.24,47.93,6.54,29.00,17.24,84.48,62.07,10.34,6.90,3.45,0.00,1.72,0.00,1.72,3.45,8.62,13.79,12.07,6.90,8.62,3.45,20.69,1.72,1.72,1.72,0.00,3.45,5.17,1.72,3.45,0.00,0.00,1.72,3.45,0.00,0.00,0.00,0.00,15.52,5.17,3.45,1.72,1.72,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,1.72,3.45,5.17,1.72,1.72,10.34,1.72,10.34,0.00,10.34,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310146,3,7,"You should not because monkeys will be endangered. You should not kill them because it’s God’s creation. You should not because animals live in trees. You should not kill trees because less oxygen. ",1,33,1.00,61.92,1.00,1.59,8.25,24.24,84.85,63.64,18.18,15.15,0.00,0.00,12.12,0.00,3.03,3.03,0.00,3.03,21.21,0.00,12.12,12.12,24.24,3.03,3.03,0.00,0.00,3.03,9.09,3.03,6.06,0.00,6.06,0.00,15.15,0.00,0.00,0.00,0.00,39.39,0.00,15.15,12.12,0.00,0.00,12.12,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,6.06,0.00,3.03,3.03,0.00,0.00,0.00,9.09,3.03,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,6.06,6.06,0.00,0.00,0.00,0.00,0.00,0.00,18.18,12.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00
10310150,3,7,People should not be allowed to chop down trees. Because the monkeys will become extinct. It kill lots of animals. And the rainforest will become extinct.,1,26,54.88,35.01,5.76,1.00,6.50,26.92,76.92,57.69,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,7.69,11.54,23.08,0.00,7.69,3.85,23.08,0.00,0.00,0.00,0.00,3.85,3.85,0.00,3.85,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,26.92,7.69,7.69,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,11.54,7.69,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310151,2,4,"I think people should not cut down trees in the rainforest. Trees need to grow. ",1,15,97.53,9.13,82.75,1.00,7.50,6.67,80.00,46.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,20.00,6.67,0.00,0.00,6.67,26.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,26.67,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,20.00,0.00,20.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310152,2,5,"I think that they should not kill the monkeys and other animals in the rainforest. I think that because the animals are cute. And they are a living thing like us. ",1,31,20.95,37.35,39.18,25.77,10.33,16.13,90.32,70.97,29.03,16.13,6.45,3.23,0.00,0.00,6.45,12.90,12.90,6.45,9.68,0.00,9.68,3.23,19.35,3.23,3.23,0.00,0.00,0.00,6.45,3.23,3.23,0.00,3.23,0.00,9.68,0.00,0.00,0.00,0.00,19.35,6.45,3.23,3.23,0.00,0.00,6.45,0.00,0.00,0.00,0.00,3.23,0.00,3.23,0.00,0.00,3.23,3.23,0.00,0.00,0.00,0.00,0.00,12.90,0.00,3.23,0.00,3.23,0.00,0.00,0.00,0.00,0.00,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,9.68,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310156,2,5,People should not be allowed to cut down trees because trees are many animals' home! And they are having babies! That is why you should not cut down trees!,1,29,7.24,63.49,1.00,1.00,9.67,10.34,86.21,62.07,10.34,6.90,0.00,0.00,3.45,0.00,3.45,3.45,0.00,10.34,24.14,3.45,6.90,6.90,24.14,0.00,0.00,3.45,0.00,3.45,6.90,0.00,6.90,0.00,0.00,0.00,13.79,3.45,0.00,0.00,0.00,24.14,0.00,10.34,6.90,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,10.34,0.00,0.00,0.00,13.79,0.00,6.90,0.00,6.90,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,3.45,0.00,0.00
10310165,1,0,"I can pet animals. Jump in the XXX. XXX because animals are nice. ",1,13,65.46,22.08,63.54,99.00,4.33,23.08,69.23,46.15,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,7.69,15.38,0.00,7.69,0.00,15.38,7.69,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,15.38,7.69,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10310167,3,7,"People should not be allowed to cut down trees in the rainforest because a lot of nature lives there, and if the people cut down the trees the animals will have no habitat.",1,33,93.26,27.23,2.40,1.00,33.00,15.15,81.82,60.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,15.15,12.12,3.03,9.09,6.06,15.15,0.00,0.00,0.00,0.00,3.03,6.06,0.00,6.06,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,18.18,0.00,6.06,6.06,6.06,0.00,6.06,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,3.03,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10323103,1,2,The people should cut down the rainforest because the rainforest is getting really old.,0,14,93.26,50.00,13.15,1.00,14.00,28.57,85.71,57.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,7.14,14.29,7.14,7.14,0.00,21.43,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,21.43,0.00,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,7.14,7.14,0.00,0.00,7.14,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10323109,3,7,I don’t think people should be allowed to cut down trees because they are destroying homes for animals. They are also getting the animals endangered.,0,25,21.49,65.56,1.59,1.00,12.50,28.00,84.00,56.00,12.00,12.00,4.00,0.00,0.00,0.00,8.00,0.00,4.00,12.00,20.00,4.00,8.00,4.00,28.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,4.00,0.00,12.00,0.00,0.00,0.00,0.00,16.00,4.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,12.00,4.00,0.00,0.00,20.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
